Model,Starting Price,Year
"Toyota Corolla              ","$21,900",2024
"Toyota Camry              ","$26,420",2024
"Volkswagen Taos              ","$23,995",2024
"Volkswagen Atlas Cross Sport              ","$36,715",2024
"Volkswagen Golf R              ","$45,455",2024
"Volkswagen Atlas              ","$37,725",2024
"Volkswagen Golf GTI              ","$31,765",2024
"Volkswagen Arteon              ","$43,010",2023
"Volvo XC40 Recharge Pure Electric              ","$48,250",2023
"Volvo XC60 Recharge Plug-In Hybrid              ","$57,900",2024
"Volkswagen Jetta              ","$20,655",2023
"Volvo XC90 Recharge Plug-In Hybrid              ","$71,900",2024
"Volkswagen ID.4              ","$38,995",2023
"Volvo V60 Recharge Plug-In Hybrid              ","$71,250",2024
"Volvo V90 Cross Country              ","$59,150",2024
"Volvo C40 Recharge Pure Electric              ","$53,600",2024
Model,Starting Price,Year
"Acura RDX              ","$44,050",2024
"Acura TLX              ","$40,050",2023
"Kia Carnival              ","$33,200",2024
"Lincoln Navigator L              ","$113,795",2024
"Jaguar E-PACE              ","$49,500",2024
"Jaguar F-TYPE              ","$113,000",2024
"Lexus UX 250h              ","$35,540",2024
"Acura Integra              ","$31,500",2024
"Jaguar I-PACE              ","$72,000",2024
"Jaguar F-PACE              ","$57,000",2024
"INFINITI QX60              ","$49,650",2024
"INFINITI QX55              ","$50,000",2024
"Lincoln Navigator              ","$110,750",2024
"Hyundai Santa Cruz              ","$26,650",2024
"Hyundai Tucson              ","$27,250",2024
"INFINITI QX80              ","$74,150",2024
"Jaguar XF              ","$49,800",2024
"INFINITI QX50              ","$40,850",2024
"Acura MDX              ","$49,850",2024
"Hyundai Venue              ","$19,800",2024
"Hyundai Tucson Plug-In Hybrid              ","$38,475",2024
"Hyundai Tucson Hybrid              ","$32,325",2024
"Hyundai Santa Fe Plug-In Hybrid              ","$42,410",2023
"Hyundai NEXO              ","$60,135",2023
"Hyundai Santa Fe HEV              ","$36,210",2023
"Hyundai Palisade              ","$36,400",2024
"Hyundai Kona              ","$24,100",2024
"Hyundai Kona EV              ","$33,550",2023
"Hyundai Kona N              ","$34,950",2023
"Hyundai IONIQ 5              ","$41,650",2024
"Hyundai Santa Fe              ","$28,750",2023
"Hyundai Elantra N              ","$32,900",2023
"Hyundai IONIQ 6              ","$37,500",2024
"Hyundai Sonata              ","$25,100",2023
"Hyundai Sonata Hybrid              ","$28,100",2023
"Hyundai Elantra HEV              ","$24,550",2023
"Volvo XC90 Recharge Plug-In Hybrid              ","$71,900",2024
"Volvo XC40 Recharge Pure Electric              ","$48,250",2023
"Volvo XC60 Recharge Plug-In Hybrid              ","$57,900",2024
"Hyundai Elantra              ","$21,475",2024
"Volvo XC40              ","$40,100",2024
"Volvo V90 Cross Country              ","$59,150",2024
"Volvo C40 Recharge Pure Electric              ","$53,600",2024
"Volvo V60 Recharge Plug-In Hybrid              ","$71,250",2024
"Volvo XC60              ","$46,450",2024
"Volvo S60 Recharge Plug-In Hybrid              ","$51,950",2024
"Volvo S60              ","$42,000",2024
"Volvo S90              ","$57,700",2024
"Volvo V60 Cross Country              ","$49,750",2024
"Volvo S90 Recharge Plug-In Hybrid              ","$65,650",2024
"INFINITI Q50              ",Priceunavailable,2024
"Lexus TX 500h              ","$68,000",2024
"Lexus RZ 450e              ","$58,500",2023
"Lexus TX 350              ","$53,700",2024
"Lexus NX 450h+              ","$58,755",2024
"Lexus NX 350h              ","$43,465",2024
"Lexus NX 350              ","$43,215",2024
"Lexus RX 350              ","$48,600",2024
"Lexus NX 250              ","$39,455",2024
"Lexus LS 500h              ","$113,485",2023
"Lexus LS 500              ","$77,385",2023
"Lexus GX 460              ","$58,875",2023
"Lexus LC 500              ","$105,200",2024
"Lexus LC 500h              ","$101,000",2024
"Lexus RC F              ","$67,045",2023
"Lexus IS 500              ","$58,270",2023
"Lexus IS 350              ","$43,160",2023
"Lexus IS 300              ","$40,085",2023
"Lexus ES 350              ","$42,040",2024
"Lexus ES 300h              ","$43,440",2024
"Lexus ES 250              ","$42,040",2024
"Jeep Gladiator              ",Priceunavailable,2024
"Jeep Wrangler 4xe              ","$49,995",2024
"Jeep Wagoneer L              ","$65,545",2024
"Jeep Wagoneer              ","$62,545",2024
"Jeep Wrangler              ","$32,095",2024
"Jeep Grand Wagoneer              ","$111,045",2024
"Jeep Grand Cherokee L              ","$41,535",2024
"Jeep Grand Cherokee 4xe              ","$59,865",2024
"Jeep Renegade              ","$27,850",2023
"Jeep Grand Wagoneer L              ","$100,545",2024
"Jeep Compass              ","$28,400",2024
"Kia Sportage Plug-In Hybrid              ","$38,690",2023
"Kia Sportage Hybrid              ","$27,490",2023
"Jeep Grand Cherokee              ","$39,535",2024
"Jeep Cherokee              ","$37,695",2023
"Kia Telluride              ","$35,990",2024
"Kia Sorento Hybrid              ","$36,690",2023
"Kia Seltos              ","$24,390",2024
"Kia Sorento              ","$30,090",2023
"Kia Niro EV              ","$39,600",2024
"Kia Sportage              ","$27,090",2024
"Kia Niro Plug-In Hybrid              ","$34,290",2024
"Kia Sorento Plug-In Hybrid              ","$49,990",2023
"Kia Stinger              ","$36,690",2023
"Kia Niro              ","$26,840",2024
"Kia Soul              ","$19,990",2024
"Kia Rio              ","$16,750",2023
"Kia K5              ","$25,390",2024
"Kia Forte              ","$19,790",2024
"Kia EV6              ","$42,600",2024
"Lincoln Nautilus              ","$50,415",2024
"Lincoln Corsair              ","$38,730",2024
"Lamborghini Huracan Tecnica              ","$275,000",2023
"Lotus Emira              ","$93,900",2024
"Lamborghini Huracan STO              ","$334,695",2023
"Lincoln Aviator              ","$53,340",2024
"Lamborghini Huracan Sterrato              ","$273,177",2023
"Lamborghini Huracan EVO              ","$206,295",2023
"Land Rover Range Rover Velar              ","$61,500",2024
"Land Rover Range Rover Sport              ","$118,200",2024
"Land Rover Discovery Sport              ","$48,900",2024
"Land Rover Range Rover              ","$107,400",2024
"Land Rover Range Rover Evoque              ","$49,900",2024
"Land Rover Defender              ","$108,200",2024
"Land Rover Discovery              ","$59,900",2024
"Subaru Crosstrek Hybrid              ","$36,845",2023
"Subaru Solterra              ","$44,995",2023
"Subaru Ascent              ","$34,195",2024
"Subaru Outback              ","$28,895",2024
"Subaru Forester              ","$27,095",2024
"Toyota Tundra Hybrid              ","$57,625",2024
"Subaru WRX              ","$30,605",2023
"Subaru Legacy              ","$24,895",2024
"Subaru Crosstrek              ","$24,995",2024
"Toyota Tacoma              ",Priceunavailable,2024
"Toyota Venza              ","$34,920",2024
"Toyota Sienna              ","$37,185",2024
"Volkswagen Arteon              ","$43,010",2023
"Rolls-Royce Ghost              ","$348,500",2023
"Toyota Sequoia              ","$60,875",2024
"Rolls-Royce Phantom              ","$493,000",2023
"Rolls-Royce Cullinan              ","$374,000",2023
"Rivian R1T              ","$73,000",2023
"Toyota RAV4 Prime              ","$43,440",2024
"Toyota Tundra              ","$39,965",2024
"Rivian R1S              ","$78,000",2023
"Toyota RAV4 Hybrid              ","$31,475",2024
"Toyota RAV4              ","$28,475",2024
"Toyota Grand Highlander Hybrid              ","$44,670",2024
"Toyota Grand Highlander              ","$43,070",2024
"Toyota bZ4X              ",Priceunavailable,2024
"Toyota Corolla Cross              ","$23,610",2024
